size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,label
79368,7,7,2.807354922057604,9362.285714285714,4096,32768,65536,1.9784375807384154,0.013126943721219527,6.270720381575833,0,1,0,68,18,68,3.7777777777777777,0,2,0,0,0,0,0,2,0,64,256,0,0,0,648,12.300925925925926,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,6.270720381575833,0,0
240128,3,3,1.584962500721156,79872.0,512,236032,239616,3.299919844605068,0.10191042566270775,5.745743053847779,0,1,0,1,1,1,1.0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,2923,19.240848443380088,1,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,1,0,5.745743053847779,0,0
876544,7,7,2.807354922057604,125074.28571428571,0,760832,875520,2.594153911469533,0.0,6.248085110611682,1,1,0,135,3,133,45.0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2352,10.541241496598639,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,6.248085110611682,0,0
1007616,9,9,3.169925001442312,111843.55555555556,0,716288,1006592,3.0462077809834622,0.0,6.248591088040632,1,1,0,147,3,145,49.0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,3344,9.395035885167465,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,6.248591088040632,0,0
858112,7,7,2.807354922057604,122441.14285714286,0,744960,857088,2.5811760687418612,0.0,6.252958546579988,1,1,0,135,3,133,45.0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2283,10.181778361804643,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,6.252958546579988,0,0
967680,9,9,3.169925001442312,107406.22222222222,0,680960,966656,3.013511366471797,0.0,6.2536723404903025,1,1,0,149,3,147,49.666666666666664,0,4,0,0,0,0,0,2,0,0,0,0,0,0,3082,9.016223231667748,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,6.2536723404903025,0,0
105239,3,3,1.584962500721156,24234.666666666668,0,72192,72704,3.2246557038308663,0.0,7.9840910518545485,1,1,2,5,2,5,2.5,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1437,8.627696590118301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9840910518545485,0,0
2655520,7,7,2.807354922057604,377636.5714285714,512,1696256,2643456,5.443905798008054,1.8970362651055184,7.420717839905733,0,1,0,553,35,553,15.8,1,15,4,3,1,0,0,2,0,64,256,0,0,0,8855,28.836363636363636,1,1,0,0,0,1,1,1,1,0,0,1,6,0,1,1,0,1,0,6.280301070274316,0,0
27227464,15,15,3.906890595608518,1814732.8,512,9197056,27220992,5.647365505146436,0.44028372993819864,7.998956716943808,0,1,0,48,1,48,48.0,0,2,0,0,0,0,0,2,0,64,256,0,0,0,133279,22.227860353093885,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6.066968318558702,0,0
40960,7,7,2.807354922057604,5266.285714285715,4096,8192,36864,1.374502327062231,0.015920183265625623,4.220612013051007,0,1,0,48,12,48,4.0,0,2,0,0,0,0,0,2,0,64,256,0,0,0,183,12.278688524590164,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,4.220612013051007,0,0
